	Unnamed: 0	key	Page Links	Titles	Gender	IsDeleted	Word Count
117	117	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Matthew_K._Watts	Matthew K. Watts	Male	True	0
118	118	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/HMS_Mersham_(M2709)	HMS Mersham (M2709)	Female	False	0
119	119	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Dan_Mazier	Dan Mazier	Male	True	0
120	120	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Robert_Coutu	Robert Coutu	Male	True	0
121	121	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Big_East_Conference_rivalries	Big East Conference rivalries	Male	True	0
122	122	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Caoimhin_Kelleher	Caoimhin Kelleher	Male	False	0
123	123	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Michael_Masch	Michael Masch	Male	True	0
124	124	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Ann_Torregrossa	Ann Torregrossa	Female	True	0
125	125	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Adelina_Domingues	Adelina Domingues	Female	False	0
126	126	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/The_Applicant	The Applicant	Male	True	0
127	127	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Billy_Ciancaglini	Billy Ciancaglini	Male	False	0
128	128	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Melissa_Murray_Bailey	Melissa Murray Bailey	Female	False	0
129	129	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Alexander_Kabakov	Alexander Kabakov	Male	True	0
130	130	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Ibrahim_al-Mujab	Ibrahim al-Mujab	Male	False	0
131	131	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Keyun_Ruan	Keyun Ruan	Female	True	0
132	132	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Bing_Predicts	Bing Predicts	Male	False	0
133	133	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Ben_Hutchings	Ben Hutchings	Male	True	0
134	134	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Diana_Babar	Diana Babar	Female	False	0
135	135	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/2019_Indian_heat_wave	2019 Indian heat wave	Male	False	0
136	136	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Edward_Kelly_(fighter)	Edward Kelly (fighter)	Male	True	0
137	137	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Barbara_Garcia	Barbara Garcia	Female	True	0
138	138	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Arun_Budhathoki	Arun Budhathoki	Male	True	0
139	139	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Jay_Steinfeld	Jay Steinfeld	Male	False	0
140	140	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Gold-collar_worker	Gold-collar worker	Male	True	0
141	141	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Mark_Chambers_(Mayor_of_Carbon_Hill,_Alabama)	Mark Chambers (Mayor of Carbon Hill, Alabama)	Male	True	0
142	142	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Craig_Call_Black	Craig Call Black	Male	False	0
143	143	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Keigo_Moriyasu	Keigo Moriyasu	Male	True	0
144	144	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Amir_Yusuf_Pohan	Amir Yusuf Pohan	Male	False	0
145	145	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Laurie_Zimmer	Laurie Zimmer	Female	False	0
146	146	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Sandeep_Tandon	Sandeep Tandon	Male	True	0
147	147	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Kayden_Boche	Kayden Boche	Male	True	0
148	148	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Adam_Zwig	Adam Zwig	Male	True	0
149	149	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Allie_Teilz	Allie Teilz	Female	True	0
150	150	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Colorado_MahlerFest	Colorado MahlerFest	Male	False	0
151	151	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/XJW_Friends	XJW Friends	Female	True	0
152	152	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Killian_Coiffier	Killian Coiffier	Male	True	0
153	153	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Virginia_Crosbie	Virginia Crosbie	Female	True	0
154	154	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Amirsalar_Davoudi	Amirsalar Davoudi	Male	False	0
155	155	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Nadix	Nadix	Male	False	0
156	156	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Caroline_Drewett	Caroline Drewett	Female	True	0
157	157	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Peter_Fletcher_(musician)	Peter Fletcher (musician)	Male	True	0
158	158	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/AC-DC_(song)	AC-DC (song)	Female	True	0
159	159	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Lament_Records	Lament Records	Male	False	0
160	160	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Gordy_Bunch	Gordy Bunch	Male	True	0
161	161	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Maria_Maurigi	Maria Maurigi	Female	True	0
162	162	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Jean_Orry	Jean Orry	Male	False	0
163	163	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/List_of_ACM-W_Celebrations	List of ACM-W Celebrations	Female	False	0
164	164	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/BlogTV	BlogTV	Male	True	0
165	165	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Phillip_Stackhouse	Phillip Stackhouse	Male	True	0
166	166	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Edmund_Reggie	Edmund Reggie	Male	True	0
167	167	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Whoopee_Camp	Whoopee Camp	Male	False	0
168	168	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Lee_Sang-baek	Lee Sang-baek	Male	False	0
169	169	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Adrian_Justinussen	Adrian Justinussen	Male	True	0
170	170	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Adele_Uddo	Adele Uddo	Female	False	0
171	171	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/This_Is_Not_a_Crocodile_Tear	This Is Not a Crocodile Tear	Male	True	0
172	172	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/XBIZ_Award_for_Foreign_Female_Performer_of_the_Year	XBIZ Award for Foreign Female Performer of the Year	Female	False	0
173	173	Wikipedia:Articles for deletion/Log/2019 June 5	https://en.wikipedia.org/wiki/Adventist_Health_Castle	Adventist Health Castle	Female	True	0
174	174	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Kiam_Wanesse	Kiam Wanesse	Male	False	0
175	175	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/R%C3%AAve_d%27%C3%A9tain	Rêve d'étain	Female	True	0
176	176	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Aiden_Jude	Aiden Jude	Male	True	0
177	177	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Aaron_Fox_(musicologist)	Aaron Fox (musicologist)	Male	False	0
178	178	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Mentat	Mentat	Male	False	0
179	179	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Lucas_Pos	Lucas Pos	Male	True	0
180	180	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Nanda_Kumar_Jayakumar	Nanda Kumar Jayakumar	Male	True	0
181	181	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Denis_Marti	Denis Marti	Male	True	0
182	182	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Health_of_Donald_Trump	Health of Donald Trump	Male	False	0
183	183	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Ulink_College	Ulink College	Female	False	0
184	184	Wikipedia:Articles for deletion/Log/2019 June 6	https://en.wikipedia.org/wiki/Narendra_Babu_Sharma	Narendra Babu Sharma	Male	True	0
