	key	Page Links	Titles	Gender	IsDeleted
93	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alana_Bunte	Alana Bunte	Female	False
94	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Club_Dance_Studio	Club Dance Studio	Unknown	False
95	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Lake_Humphreys,_Oklahoma	Lake Humphreys, Oklahoma	Unknown	False
96	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Elk_Plaza,_Oklahoma	Elk Plaza, Oklahoma	Unknown	False
97	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Catalina_(actress)	Catalina (actress)	Female	False
98	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Nike_T40_T55	Nike T40 T55	Unknown	False
99	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Metal_Injection	Metal Injection	Unknown	False
100	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Nike-Deacon	Nike-Deacon	Unknown	False
101	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/University_Partnerships_Programme	University Partnerships Programme	Unknown	False
102	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Paperon_Intelligence_Agency	Paperon Intelligence Agency	Male	False
103	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Raza_Talish_(actor)	Raza Talish (actor)	Male	False
104	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/In_the_Zone_of_Special_Attention	In the Zone of Special Attention	Male	False
105	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Saganami_Island_Tactical_Simulator	Saganami Island Tactical Simulator	Unknown	False
106	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Abiotic_(band)	Abiotic (band)	Unknown	False
107	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/The_Brotherhood_(professional_wrestling)	The Brotherhood (professional wrestling)	Male	False
108	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/The_Tennessee_Volunteerz	The Tennessee Volunteerz	Male	False
109	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Larry_Stephens_(wrestler)	Larry Stephens (wrestler)	Male	False
110	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Enakshi_Ray_Mitra	Enakshi Ray Mitra	Female	False
111	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/The_King_of_Pirates	The King of Pirates	Male	False
112	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Valentina_Zelyaeva	Valentina Zelyaeva	Female	False
113	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ladislav_pl._Ki%C5%A1	Ladislav pl. Kiš	Male	False
114	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/SigniCASE	SigniCASE	Unknown	False
115	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Gyroxus	Gyroxus	Female	False
116	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/FlannelJax%27s	FlannelJax's	Female	False
117	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/2019_New_York_City_helicopter_crash	2019 New York City helicopter crash	Unknown	False
118	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Willis_Ricketts	Willis Ricketts	Male	False
119	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Sam_Alexander_(Marine)	Sam Alexander (Marine)	Male	False
120	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/David_Sidoni	David Sidoni	Male	False
121	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Princella_Smith	Princella Smith	Female	False
122	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Codeko	Codeko	Male	False
123	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Mr._Monkey	Mr. Monkey	Unknown	False
124	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Monroe_Schwarzlose	Monroe Schwarzlose	Male	False
125	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Magestore	Magestore	Unknown	False
126	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Aluminum_internal_combustion_engine	Aluminum internal combustion engine	Unknown	False
127	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/YV_Rajesh	YV Rajesh	Male	False
128	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Dario_Hunter_2020_presidential_campaign	Dario Hunter 2020 presidential campaign	Male	False
129	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Dario_Hunter	Dario Hunter	Male	False
130	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Bob_Cohee	Bob Cohee	Male	False
131	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Bridgette_Raes	Bridgette Raes	Female	False
132	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/GoalNepal.com	GoalNepal.com	Unknown	False
133	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ehud_Arye_Laniado	Ehud Arye Laniado	Male	False
134	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Windstream_Concord_Telephone	Windstream Concord Telephone	Unknown	False
135	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Aleksandr_Smolyar	Aleksandr Smolyar	Male	False
136	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Erick_Guerrero	Erick Guerrero	Male	False
137	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Wayne_H._Babbitt	Wayne H. Babbitt	Male	False
138	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ahmed_Adel_(actor)	Ahmed Adel (actor)	Male	False
139	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Algunos_Sentimientos	Algunos Sentimientos	Unknown	False
140	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Kawasaki_Snowmobiles	Kawasaki Snowmobiles	Unknown	False
141	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/2019_Indian_Air_Force_An-32_disappearance	2019 Indian Air Force An-32 disappearance	Unknown	False
142	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/WorldFest-Houston_International_Film_Festival	WorldFest-Houston International Film Festival	Unknown	False
143	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Bonifacio_Global_City_station	Bonifacio Global City station	Unknown	False
144	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Alliye	Alliye	Female	False
145	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Laforet	Laforet	Female	False
146	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Galandar_Janbakhishov	Galandar Janbakhishov	Male	False
147	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Alex_Waters	Alex Waters	Male	False
148	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ring_(programming_language)	Ring (programming language)	Unknown	False
149	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Arun_Singhaniya	Arun Singhaniya	Male	False
150	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Belchertown_Board_of_Selectmen	Belchertown Board of Selectmen	Unknown	False
151	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/SEA-ME-WE_6	SEA-ME-WE 6	Unknown	False
152	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/1._maj,_Podgorica	1. maj, Podgorica	Unknown	False
153	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Jonathan_M._Parisen	Jonathan M. Parisen	Male	False
154	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Eclipse_Center	Eclipse Center	Unknown	False
155	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/WalkAway_campaign	WalkAway campaign	Male	False
156	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Good_Favour	Good Favour	Unknown	False
157	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Wild_Ripperz_Crew	Wild Ripperz Crew	Unknown	False
158	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Freelandia	Freelandia	Male	False
159	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Housing_Rights_and_Reform_Alliance	Housing Rights and Reform Alliance	Male	False
160	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Coach_Meddy	Coach Meddy	Male	False
161	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Dix_mille_ans_de_cin%C3%A9ma	Dix mille ans de cinéma	Unknown	False
162	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Olakunbi_Olasope	Olakunbi Olasope	Female	False
163	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Evolution:_The_Musical!	Evolution: The Musical!	Unknown	False
164	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Miss_Issa	Miss Issa	Female	False
165	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Philipp_Brinkmann	Philipp Brinkmann	Male	False
166	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Mohammad_Moyeenul_Haque	Mohammad Moyeenul Haque	Male	False
167	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Hoon_(fiction)	Hoon (fiction)	Male	False
168	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Karen_Davis_(singer)	Karen Davis (singer)	Female	False
169	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/List_of_Uplift_Universe_species	List of Uplift Universe species	Unknown	False
170	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Ganesh_Dhungana	Ganesh Dhungana	Male	False
171	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Madrat_and_Chiko	Madrat and Chiko	Male	False
172	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Harriet_Carter	Harriet Carter	Female	False
173	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/List_of_ACM-W_chapters	List of ACM-W chapters	Female	False
174	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/St_Agnes-by-the-Lake_Episcopal_Church_(Algoma,_Wisconsin)	St Agnes-by-the-Lake Episcopal Church (Algoma, Wisconsin)	Female	False
175	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Answernet	Answernet	Unknown	False
176	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Academy_of_Information_Technology_(USA)	Academy of Information Technology (USA)	Unknown	False
177	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/List_of_European_cities_by_temperature	List of European cities by temperature	Unknown	False
178	Wikipedia:Articles for deletion/Log/2019 June 4	https://en.wikipedia.org/wiki/Cuco_(musician)	Cuco (musician)	Male	False
